CampoB,CampoE,DensityPolarX,DensityPolarY,DensityPolarZ
0.1,1.0,0.05468412499999999,0.62467973,-0.0010872265317880437
0.2,1.0,0.10832422,0.63042186,-0.0023166215196763424
0.3,1.0,0.159993495,0.6392743750000002,-0.0038428401303161773
0.4,1.0,0.25554598500000003,0.6675362899999999,-0.27573569553951977
0.5,1.0,0.51039356,0.720114215,-23.449513201913682
0.6,1.0,0.61987225,0.767696265,-22.049669773506405
0.7,1.0,0.7783779449999998,0.858114505,-14.591460033772709
0.8,1.0,0.9988553600000001,0.999150605,-0.07065079665074055
0.9,1.0,0.9997418650000001,0.9997418650000001,-5.968315407166435e-10
0.0,1.2,9.600000000000001e-07,0.6198672600000001,2.5902488867102326e-07
0.1,1.2,0.05338756500000001,0.6219226250000001,-0.001074774039578685
0.2,1.2,0.10664782499999999,0.6274907550000001,-0.002307550476032837
0.3,1.2,0.15765716999999996,0.6362152550000001,-0.0038256718731597694
0.4,1.2,0.24938950500000004,0.66391402,-0.0031973717926273007
0.5,1.2,0.47993599500000006,0.710367125,-20.55692041311088
0.6,1.2,0.60719277,0.761580315,-22.202321019770245
0.7,1.2,0.76943852,0.8521710950000001,-14.881615195848287
0.8,1.2,0.9979560399999998,0.9985477399999999,-0.14115073597286726
0.9,1.2,0.9997408600000002,0.9997408600000002,-5.968315407166435e-10
0.0,1.4,-1.7350000000000001e-06,0.6172148500000001,1.3380963142867148e-06
0.1,1.4,0.052946645000000014,0.6189830199999998,-0.00108436392877492
0.2,1.4,0.10500075500000002,0.624554435,-0.002307407037519218
0.3,1.4,0.15704445999999997,0.633305045,-0.003747321420045264
0.4,1.4,0.24533069000000002,0.66001216,-0.003065915467963674
0.5,1.4,0.3951187949999999,0.691820845,-11.349262704753011
0.6,1.4,0.598494755,0.757948955,-21.498019714937342
0.7,1.4,0.7672419150000002,0.850436285,-14.609321267654275
0.8,1.4,0.9988265499999999,0.999128045,-0.07053171105236519
0.9,1.4,0.9997396499999999,0.9997396499999999,-3.978876938110956e-10
0.0,1.6,-1.2e-06,0.6144257800000001,-6.843668333550834e-08
0.1,1.6,0.05170977,0.6162746350000001,-0.0010772073217701862
0.2,1.6,0.10338445499999997,0.62160458,-0.0023171039585050883
0.3,1.6,0.154720225,0.6303379050000001,-0.0037530209623152615
0.4,1.6,0.241314395,0.6556998399999998,-0.0029437888139445313
0.5,1.6,0.29955453000000004,0.6739163799999999,-0.8248605600587599
0.6,1.6,0.5907505400000002,0.7545250550000001,-20.342293643704306
0.7,1.6,0.7474151750000002,0.837644285,-15.504005358353576
0.8,1.6,0.9988078899999999,0.9991120950000001,-0.07047613986866523
0.9,1.6,0.999738235,0.999738235,-5.968315407166435e-10
0.0,1.8,-2.8900000000000003e-06,0.61179428,8.06916243048902e-07
0.1,1.8,0.050898160000000005,0.6134330450000001,-0.0010828624995623236
0.2,1.8,0.10180202999999999,0.618661375,-0.002333653102409926
0.3,1.8,0.15400940999999996,0.627313925,-0.003682213664100026
0.4,1.8,0.23734892999999996,0.65151325,-0.00283104077075621
0.5,1.8,0.288183665,0.6687191999999998,-0.0035132490633723685
0.6,1.8,0.5593649500000001,0.7405801349999999,-19.71378576771635
0.7,1.8,0.741477445,0.8333496800000001,-15.215954680989563
0.8,1.8,0.9969024400000002,0.9978433550000002,-0.21137699480995292
0.9,1.8,0.9997365550000001,0.9997365550000001,-3.978876938110956e-10
0.0,2.0,-9.649999999999997e-07,0.6090230900000001,-7.480288643648605e-08
0.1,2.0,0.050478345000000015,0.6103974450000001,-0.00111121159985867
0.2,2.0,0.100248855,0.6157007800000001,-0.0023569414691286894
0.3,2.0,0.15474431499999997,0.6242150300000001,-0.0035215034425243263
0.4,2.0,0.23343612,0.647231405,-0.002728870372964008
0.5,2.0,0.28394314500000006,0.6646277599999999,-0.0033876514360562647
0.6,2.0,0.5130329249999999,0.7253576499999999,-16.611427840878346
0.7,2.0,0.7240666050000001,0.8226904600000001,-15.63814314268412
0.8,2.0,0.9905233399999999,0.9936491499999998,-0.6691974545532675
0.9,2.0,0.99973461,0.99973461,-7.957753876221912e-10
0.0,2.2,-2.0200000000000006e-06,0.6064172499999999,4.265356077654945e-07
