CampoB,CampoE,DensityPolarX,DensityPolarY,DensityPolarZ,DensityMagnet,DensityabsMagnet,DensityChiral
9.5,0.1,0.0025199999999999997,0.00251998,5.22e-06,0.99961638,0.99961638,-7.957753876221913e-09
0.0,0.2,0.02243818,0.03366596,-0.00123892000000001,0.19999998000000002,0.7075444,-9.581135666971181e-07
0.5,0.2,0.03230725999999999,0.04389672,-0.12889683999999998,0.24153419999999998,0.70896136,-0.0006382349383592384
1.0,0.2,0.05065516,0.027981259999999997,-0.12390954000000001,0.28287292,0.7157932600000001,-0.001279524062656171
1.5,0.2,0.026246219999999997,0.038083280000000004,-0.0009526600000000051,0.3237744,0.7266102799999999,-0.0019290351382580159
2.0,0.2,0.03301674,0.02654248,-0.06492998,0.38462633999999996,0.70404442,-6.2793630613797475
2.5,0.2,0.01700914,0.01700952,0.00039258,0.57519338,0.787926,-6.728068443845314
3.0,0.2,0.0245567,0.02456028,0.00067396,0.46753842,0.72912866,-9.086496960138017
3.5,0.2,0.02610886,0.02611688,0.0008177799999999999,0.49977594,0.73338356,-8.900068687352583
4.0,0.2,0.027197100000000002,0.02720516,0.00094294,0.53300596,0.72857572,-8.442309299590335
4.5,0.2,0.02749394,0.02748292,0.0010336199999999999,0.5696208,0.7180747000000001,-7.73990915428175
5.0,0.2,0.02659498,0.0266015,0.00121774,0.6110111199999999,0.70785294,-6.819999426245945
5.5,0.2,0.03877002,0.03875162,0.0055422,0.75009526,0.7690979,-2.0217159503627142
6.0,0.2,0.07174997999999999,0.06658266,0.023807879999999997,0.72015418,0.72320074,-0.9258298297995602
6.5,0.2,0.08806312000000001,0.10867160000000001,0.08951595999999999,0.77140832,0.77140832,-0.00038685824693865205
7.0,0.2,0.062002159999999994,0.07691862000000001,0.0790562,0.8169278600000001,0.8169278600000001,-0.0003541829137474973
7.5,0.2,0.06197638,0.06201558,0.17573462,0.86348064,0.86348064,-2.895030860169532e-06
8.0,0.2,0.03511854,0.03513064,0.12373554,0.908587,0.908587,-2.8743407000913555e-06
8.5,0.2,0.01512798,0.015157520000000002,0.06481966,0.95386218,0.95386218,-2.228966860729758e-06
9.0,0.2,0.00530336,0.005303500000000001,1.882e-05,0.9990641199999999,0.9990641199999999,-6.047892945928654e-08
9.5,0.2,0.005039279999999999,0.00504074,2.104e-05,0.99960586,0.99960586,-7.957753876221912e-10
0.0,0.3,0.02781248,0.06945176,-0.06877636000000001,0.19999983999999998,0.70465774,-2.8918477586190432e-06
0.5,0.3,0.06580376,0.05881898000000001,-0.19006786,0.24160022000000003,0.70569686,-0.0006228923888858827
1.0,0.3,0.06792883999999999,0.060902960000000006,-0.185655,0.28301268,0.7124333399999999,-0.0012428873595854329
1.5,0.3,0.05799973999999999,0.04976104,-0.059365539999999994,0.32398092,0.7237545,-0.0018832852154482289
2.0,0.3,0.03167898,0.0308893,-0.01098184,0.39157477999999996,0.69348696,-8.350632829236151
2.5,0.3,0.025417600000000002,0.025418839999999998,0.0008787799999999998,0.57529498,0.7879092,-6.712581713399902
3.0,0.3,0.03664254,0.03664684,0.0015095599999999999,0.4676505800000001,0.72988564,-9.065891106891732
3.5,0.3,0.03886746,0.038867860000000004,0.00181754,0.49986378,0.73357794,-8.880643356548754
4.0,0.3,0.04036772,0.04036606,0.0020918,0.5330529399999999,0.72870608,-8.424954368647722
4.5,0.3,0.04066782000000001,0.04066286000000001,0.00228884,0.5696007599999999,0.7185429799999999,-7.725053989381173
5.0,0.3,0.03930472,0.03928438,0.002618,0.61091116,0.7072713,-6.807238550383724
5.5,0.3,0.07167608,0.0713597,0.020390560000000002,0.75317698,0.76402456,-1.068219771676126
6.0,0.3,0.12121686000000001,0.10400976000000002,0.07174388000000001,0.72149908,0.7226803399999999,-0.3696846397843131
